Preparation of the Reporter;5
Presentation of the Reporter;10
Clarifying questions from the Opponent;2
Preparation of the Opponent;3
The Opponent's speech;5
Discussion between Reporter and Opponent;5
Clarifying questions from the Moderator;2
Preparation of the Moderator;1
The Moderator's speech;3
Discussion between Reporter Opponent and Moderator;4
General discussion between the teams;5
Concluding remarks by the Reporter;1
Questions from the Jury;6
Jury decides grades;1
Jury feedback;3
